id	name	slug	isAvailable	shortName	description	price	propertiesShort	image_url
1164216	Клавиатура A4TECH Bloody B120N,  USB, c подставкой для запястий, черный	klaviatura-a4-bloody-b120n-usb-chernyi	True	Клавиатура A4TECH Bloody B120N, черный		1940	[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'USB;'}, {'name': 'цвет русских букв:', 'value': 'многоцветный;'}, {'name': 'цвет английских букв:', 'value': 'многоцветный;'}, {'name': 'встроено:', 'value': 'подсветка клавиш,'}, {'name': 'конструктив:', 'value': 'подставка для запястий,'}, {'name': 'особенности:', 'value': 'мультимедийная, для геймеров,'}]	https://cdn.citilink.ru/dytBiLLWO3JIvS8OfhpVfrPkpI1EQ2T2lVMTDJypG4k/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/1164216_v01_b.jpg
412899	Клавиатура Oklick 780G SLAYER,  USB, черный [412899]	klaviatura-oklick-780g-slayer-usb-chernyi-sw-gk3	True	Клавиатура Oklick 780G SLAYER, черный	"<p>Клавиатура OKLICK 780G SLAYER с полноформатными выделенными яркой подсветкой клавишами. Система Anti-Ghosting позволяет кликать одновременно до 19 клавиш.</p>

<p>Тип подключения<br />
Модель соединяется с системным блоком при помощи полутораметрового прочного кабеля, оснащенного USB-портом. Длина провода способствует свободному перемещению в зоне рабочего пространства.</p>

<p>Общие характеристики<br />
Сдвоенные светодиоды обеспечивают два режима освещения тактильных переключателей. Функционал предусматривает вспомогательные кнопки с моментальным откликом в зоне игрового поля клавиатуры OKLICK 780G SLAYER, поэтому она может стать оптимальным решением для геймеров.</p>"	599	[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'USB;'}, {'name': 'цвет русских букв:', 'value': 'серый;'}, {'name': 'цвет английских букв:', 'value': 'серый;'}, {'name': 'встроено:', 'value': 'подсветка клавиш,'}, {'name': 'особенности:', 'value': 'для геймеров,'}]	https://cdn.citilink.ru/jHHeEZjywieiDpAk1UZTcoMMCeednD3hnX73Dod1eFo/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/412899_v01_b.jpg
1010861	Клавиатура A4TECH Bloody B975,  USB, c подставкой для запястий, черный	klaviatura-a4-bloody-b975-usb-c-podstavkoi-dlya-zapyastii-chernyi	True	Клавиатура A4TECH Bloody B975, черный	"<p>Для геймеров отлично подойдет клавиатура A4 Bloody B975, которая имеет подсветку для запястий. Технология A4tech Bloody B975 гарантирует самый быстрый отклик на нажатие - игрок не пропустит ни одного фатального момента. Инновационная система RGB-свечения может быть настроена в соответствии с собственными предпочтениями. Есть предустановленные эффекты подсветки.</p>


<p>Клавиатура A4 Bloody B975 характеризуется стильным геймерским дизайном. Производитель заявляет, что все клавиши рассчитаны на 100 000 000 нажатий. У данного периферийного устройства имеется достаточно длинный шнур (1.8 метра). Оптический принцип срабатывания гарантирует отсутствие задержек. Эффект Anti-ghosting позволяет одновременно нажимать на любое количество клавиш и не сомневаться в том, что вся информация незамедлительно поступит в систему.</p>
"	6140	[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'USB;'}, {'name': 'цвет русских букв:', 'value': 'белый;'}, {'name': 'цвет английских букв:', 'value': 'белый;'}, {'name': 'встроено:', 'value': 'подсветка клавиш,'}, {'name': 'конструктив:', 'value': 'механическая; подставка для запястий,'}, {'name': 'особенности:', 'value': 'мультимедийная, для геймеров,'}]	https://cdn.citilink.ru/uOpWPA5E0b5Kwg4tOJvX8ZfyZbT-kEGl3cVGSaCc0JI/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/1010861_v01_b.jpg
1083044	Клавиатура Oklick 120M,  USB, черный [1083044]	klaviatura-oklick-120m-usb-chernyi	True	Клавиатура Oklick 120M, черный	"<p>Для тех, кто много работает за компьютером в офисе или дома, настоящей помощницей станет проводная клавиатура OKLICK 120M. Она предназначена для настольных компьютеров и выполнена из качественного прочного пластика в строгом дизайне черного цвета. Имеет стандартную раскладку со 104 квадратными клавишами низкого профиля. Использованный в конструкции мембранный механизм обеспечивает практически бесшумный нажим клавиш, который сохраняется даже при наборе текста с большой скоростью.</p>
<p>Клавиатура OKLICK 120M - легкая и удобная в использовании, отличается прочностью и надежностью. Не требует установки программного обеспечения. Входящий в комплект цифровой блок позволяет быстро и эффективно проводить необходимые вычисления. Проводная, подключается к компьютеру с помощью прочного кабеля длиной 1.35 м через порт USB.</p>
"	450	[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'USB;'}, {'name': 'цвет русских букв:', 'value': 'красный;'}, {'name': 'цвет английских букв:', 'value': 'белый;'}]	https://cdn.citilink.ru/bcg4B9Caq4YS-d7wQxj4-LFmKxWyEepKaz2ttoNmztE/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/1083044_v01_b.jpg
1061617	Клавиатура Oklick 550ML,  USB, черный [1061617]	klaviatura-oklick-550ml-usb-chernyi	True	Клавиатура Oklick 550ML, черный	"<p>Клавиатура Oklick 550ML с проводным подключением к процессору оборудована универсальным USB-портом. Современный ультратонкий дизайн позволяет работать стационарно в офисе или дома, а также мобильно использовать модель в дороге.</p>

<p>Дополнительный источник света<br />
Плоские полноразмерные клавиши Oklick 550ML оснащены яркой шестицветной зональной подсветкой с пятью уровнями яркости и десятью режимами работы. Изменение насыщенности и интенсивности яркости регулируется специальной кнопкой.</p>

<p>Мультимедийная оснастка<br />
Вспомогательный набор кнопок обеспечивает быстрый доступ к управлению СD-приводом, громкостью, питанием и вызов Web-браузера.</p>"	799	[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'USB;'}, {'name': 'цвет русских букв:', 'value': 'белый;'}, {'name': 'цвет английских букв:', 'value': 'белый;'}, {'name': 'встроено:', 'value': 'подсветка клавиш,'}, {'name': 'особенности:', 'value': 'мультимедийная, тонкая(slim),'}]	https://cdn.citilink.ru/ysHNIWksRA1aPgs3jehGEyVM_jOmlvwOemq8cCV3-z8/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/1061617_v01_b.jpg
1529972	Клавиатура A4TECH Bloody B865R,  USB, серый + черный	klaviatura-a4tech-bloody-b865r-mehanicheskaya-seryi-usb-for-gamer-led	True	Клавиатура A4TECH Bloody B865R, серый		5999	[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'USB;'}, {'name': 'цвет русских букв:', 'value': 'прозрачный;'}, {'name': 'цвет английских букв:', 'value': 'прозрачный;'}, {'name': 'встроено:', 'value': 'подсветка клавиш,'}, {'name': 'конструктив:', 'value': 'механическая;'}, {'name': 'особенности:', 'value': 'для геймеров,'}]	https://cdn.citilink.ru/7-unKMicCkoR-TO443KdyL7BpivviiJsO-_ollVauT4/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/1529972_v01_b.jpg
1422364	Клавиатура SunWind SW-K500G,  USB, черный [1422364]	klaviatura-sunwind-sw-k500g-usb-chernyi-sw-mk102	True	Клавиатура SunWind SW-K500G, черный	"<p>Надежная компактная игровая клавиатура SUNWIND SW-K500G.
Несмотря на уменьшенное количество клавиш (TKL – без дополнительного цифрового блока), клавиатура обладает клавишами с мультимедийными функциями, регулируемой оригинальной подсветкой и возможностью переключиться в игровой режим. Оригинальный внешний вид не уступает дорогостоящим моделям, а надежный мембранный механизм обеспечивает негромкое срабатывание клавиш и высокий ресурс кнопок – до 10 млн кликов. Встроенный механизм анти-хостинга (предотвращение ложных срабатываний) различает до 6-ти одновременных нажатий клавиш. 
Благодаря компактному размеру клавиатуру легче разместить на домашнем или офисном столе.
Дополнительный бонус клавиатуры – влагозащита, что позволит надолго продолжить срок службы клавиатуры даже при непреднамеренном попадании на нее влаги.<p>
"	889	[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'USB;'}, {'name': 'цвет русских букв:', 'value': 'белый;'}, {'name': 'цвет английских букв:', 'value': 'белый;'}, {'name': 'встроено:', 'value': 'подсветка клавиш,'}, {'name': 'особенности:', 'value': 'мультимедийная, для геймеров,'}]	https://cdn.citilink.ru/H84emcxetdwxCimBeGFHuKzW-gyYHA2hKlaqSk84q-Q/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/1422364_v01_b.jpg
1377936	Клавиатура A4TECH Bloody B765,  USB, серый [b765 grey/neon (green switch)]	klaviatura-a4-bloody-b765-mehanicheskaya-seryi-usb-for-gamer-led	True	Клавиатура A4TECH Bloody B765, серый	"<div data-v-md-line=""1""><p>Игровая клавиатура A4 Bloody B765 оборудована механическими переключателями с оптической технологией, что обеспечивает наилучшее ее использование. Данная модель оснащена набором из специальных игровых клавиш оранжевого цвета. Корпус клавиатуры A4 Bloody B765 изготовлен из алюминия и пластика, приятного на ощупь, присутствует неоновая подсветка 6 оттенков. Клавиши здесь квадратные с белыми надписями. Цвет клавиатуры серый.</p>
</div>"	4070	[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'USB;'}, {'name': 'цвет русских букв:', 'value': 'белый;'}, {'name': 'цвет английских букв:', 'value': 'белый;'}, {'name': 'встроено:', 'value': 'подсветка клавиш,'}, {'name': 'конструктив:', 'value': 'механическая;'}, {'name': 'особенности:', 'value': 'для геймеров,'}]	https://cdn.citilink.ru/qknGTk3oYqaBC17E9YsRfs_ONnvXL3ISJ5pZSXz127w/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/1377936_v01_b.jpg
402127	Клавиатура Oklick 90M,  USB, черный [402127]	klaviatura-oklick-90m-usb-chernyi-hk-01	True	Клавиатура Oklick 90M, черный	"Клавиатура Oklick 90M – компактное устройство в черном корпусе из прочного пластика, обеспечивающее плавные, мягкие и комфортные нажатия. Имеет стильный классический дизайн и двуязычное обозначение кнопок. Русский алфавит выделен красными буквами. 
Клавиатура Oklick 90M легко подключается к стационарному компьютеру или ноутбуку через интерфейс USB, не требуя установки драйверов. Гарантийный срок эксплуатации изделия, заявленный производителем, составляет двенадцать месяцев. При желании клавиатуру можно установить под небольшим углом, задействовав ножки. Модель удобна, легковесна и доступна любому пользователю. 
"	449	[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'USB;'}, {'name': 'цвет русских букв:', 'value': 'красный;'}, {'name': 'цвет английских букв:', 'value': 'белый;'}]	https://cdn.citilink.ru/w66UIJ6qxArrGSwsL4Cm74GlYSwyO3Rdo_Ittvy4X3s/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/402127_v01_b.jpg
1774484	Клавиатура A4TECH Bloody S510N,  USB, белый [s510n (icy white )]	klaviatura-a4tech-bloody-s510n-mehanicheskaya-belyi-usb-for-gamer-led	False	Клавиатура A4TECH Bloody S510N, белый			[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'USB;'}, {'name': 'цвет русских букв:', 'value': 'прозрачный;'}, {'name': 'цвет английских букв:', 'value': 'прозрачный;'}, {'name': 'встроено:', 'value': 'подсветка клавиш,'}, {'name': 'конструктив:', 'value': 'механическая;'}, {'name': 'особенности:', 'value': 'для геймеров,'}]	https://cdn.citilink.ru/AHWCcqjd5aQOFgoCTAwNsaubnYYBXQgVEZiZfJtIxYQ/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/1774484_v01_b.jpg
570125	Клавиатура A4TECH KR-85,  USB, черный	klaviatura-a4-kr-85-usb-chernyi	True	Клавиатура A4TECH KR-85, черный	"Стандартная и универсальная клавиатура модели A4 KR-85 станет удачным выбором для оснащения абсолютно любого рабочего стола и отлично подойдет как для работы или учебы, так и для развлечений и игр. Стильный и лаконичный дизайн этой клавиатуры в классическом черном цвете предусматривает традиционное расположение клавиш и наличие цифрового блока для максимального удобства использования.
Клавиатура A4 KR-85 оборудована клавишами особой эргономичной формы, которые удобны при нажатии и обеспечивают наилучший отклик для работы. Эта клавиатура подключается к компьютерам или ноутбукам посредством кабеля и стандартного порта USB, обеспечивая стабильную и бесперебойную связь в процессе использования. Эта клавиатура совместима с любыми гаджетами, оборудованными USB-входом, а также с любыми операционными системами."	1099	[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'USB;'}, {'name': 'цвет русских букв:', 'value': 'белый;'}, {'name': 'цвет английских букв:', 'value': 'белый;'}]	https://cdn.citilink.ru/8AtozsLTSgyOTZ_CW1158HyPshPdgOGUWPFGgCikND8/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/570125_v01_b.jpg
